bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
4528,Beleuchtung > Straßenlaternen defekt,"47.6682322658902, 9.18022057004272","
                        
                                Stadtwerke Konstanz

                            
                            
                        
                    ",in Bearbeitung,"
                    
                        
                            Diese Anfrage wurde am 17.02.2021 via iOS gestellt.
                        
                    
                ","keine(autom. ermittelt: Mainaustraße 2, 78464 Konstanz, Germany                    ","
            seit Wochen/Monaten sind 2 Laternen defekt

        ","NA"
4529,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.672339666285, 9.19423696263767","
                        
                                Technische Betriebe

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 17.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Brandesstraße 2, 78464 Konstanz, Germany                    ","
            Die Straßenbeschilderung ist häufig im ganzen Stadtgebiet verschmutzt. Das führt zu erschwerter Lesbarkeit, stört auch ein ""sauberes"" Stadtbild. Wer kümmert sich um die Straßenbeschilderung?
Eine allgemeine Säuberungsaktion würde mich und sicherlich viele Bürgerinnen und Bürger sehr freuen. 

        ","NA"
4530,"NA","NA","NA","NA","NA","NA","NA","NA"
4531,"NA","NA","NA","NA","NA","NA","NA","NA"
4532,"NA","NA","NA","NA","NA","NA","NA","NA"
4533,"NA","NA","NA","NA","NA","NA","NA","NA"
4534,"NA","NA","NA","NA","NA","NA","NA","NA"
4535,"NA","NA","NA","NA","NA","NA","NA","NA"
4536,"NA","NA","NA","NA","NA","NA","NA","NA"
4537,"NA","NA","NA","NA","NA","NA","NA","NA"
4538,"NA","NA","NA","NA","NA","NA","NA","NA"
4539,"NA","NA","NA","NA","NA","NA","NA","NA"
4540,"NA","NA","NA","NA","NA","NA","NA","NA"
4541,"NA","NA","NA","NA","NA","NA","NA","NA"
4542,"NA","NA","NA","NA","NA","NA","NA","NA"
4543,"NA","NA","NA","NA","NA","NA","NA","NA"
4544,"NA","NA","NA","NA","NA","NA","NA","NA"
4545,"NA","NA","NA","NA","NA","NA","NA","NA"
4546,"NA","NA","NA","NA","NA","NA","NA","NA"
4547,"NA","NA","NA","NA","NA","NA","NA","NA"
4548,"NA","NA","NA","NA","NA","NA","NA","NA"
